#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.18e+01    1.66e+01      1.90e+00    1.93e+00      6.90e-01    5.23e-01    1.0e-03
    100      1.87e+01    1.54e+01      8.59e-01    8.34e-01      5.92e-01    4.86e-01    1.0e-03
    200      1.08e+01    1.48e+01      5.89e-02    3.00e-02      3.42e-01    4.67e-01    1.0e-03
    300      1.23e+01    8.88e+00      3.30e-01    3.56e-01      3.89e-01    2.81e-01    1.0e-03
    400      7.14e+00    4.90e+00      3.95e-02    4.30e-02      2.26e-01    1.55e-01    1.0e-03
    500      1.06e+01    7.72e+00      7.36e-02    8.85e-02      3.35e-01    2.44e-01    1.0e-03
    600      9.44e+00    5.09e+00      4.53e-01    4.82e-01      2.98e-01    1.61e-01    1.0e-03
    700      8.22e+00    1.16e+01      2.73e-01    2.87e-01      2.60e-01    3.67e-01    1.0e-03
    800      7.72e+00    1.30e+01      1.61e-01    1.75e-01      2.44e-01    4.10e-01    1.0e-03
    900      1.28e+01    1.06e+01      1.49e-01    1.33e-01      4.06e-01    3.35e-01    1.0e-03
   1000      4.73e+00    5.03e+00      7.93e-02    8.12e-02      1.50e-01    1.59e-01    1.0e-03
   1100      5.80e+00    8.66e+00      2.75e-01    2.76e-01      1.83e-01    2.74e-01    1.0e-03
   1200      1.24e+01    1.13e+01      1.50e-01    1.65e-01      3.91e-01    3.58e-01    1.0e-03
   1300      6.53e+00    6.54e+00      2.03e-01    2.02e-01      2.07e-01    2.07e-01    1.0e-03
   1400      4.42e+00    4.42e+00      2.16e-01    2.17e-01      1.40e-01    1.40e-01    1.0e-03
   1500      5.06e+00    5.11e+00      1.83e-01    1.81e-01      1.60e-01    1.62e-01    1.0e-03
   1600      6.23e+00    9.61e+00      8.40e-02    8.87e-02      1.97e-01    3.04e-01    1.0e-03
   1700      2.74e+00    3.25e+00      1.28e-01    1.28e-01      8.66e-02    1.03e-01    1.0e-03
   1800      4.98e+00    9.62e+00      3.38e-01    3.62e-01      1.57e-01    3.04e-01    1.0e-03
   1900      5.50e+00    5.43e+00      9.56e-02    9.37e-02      1.74e-01    1.72e-01    1.0e-03
   2000      7.09e+00    6.97e+00      1.89e-01    1.82e-01      2.24e-01    2.20e-01    1.0e-03
   2100      4.29e+00    4.50e+00      1.38e-01    1.38e-01      1.36e-01    1.42e-01    1.0e-03
   2200      5.56e+00    8.18e+00      8.96e-02    9.42e-02      1.76e-01    2.59e-01    1.0e-03
   2300      9.45e+00    8.83e+00      1.38e-01    1.47e-01      2.99e-01    2.79e-01    1.0e-03
   2400      6.73e+00    6.34e+00      1.70e-02    1.59e-02      2.13e-01    2.01e-01    1.0e-03
   2500      7.25e+00    8.78e+00      7.63e-02    7.10e-02      2.29e-01    2.78e-01    1.0e-03
   2600      4.84e+00    8.12e+00      1.07e-01    1.09e-01      1.53e-01    2.57e-01    1.0e-03
   2700      6.96e+00    7.99e+00      4.69e-02    4.26e-02      2.20e-01    2.53e-01    1.0e-03
   2800      6.96e+00    6.26e+00      3.41e-02    3.48e-02      2.20e-01    1.98e-01    1.0e-03
   2900      6.45e+00    5.78e+00      1.10e-01    1.07e-01      2.04e-01    1.83e-01    1.0e-03
   3000      8.54e+00    7.53e+00      3.27e-02    4.07e-02      2.70e-01    2.38e-01    1.0e-03
