#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.56e+01    3.46e+01      3.43e-01    3.34e-01      8.09e-01    1.09e+00    1.0e-03
    100      1.30e+01    1.68e+01      1.14e+00    1.14e+00      4.09e-01    5.31e-01    1.0e-03
    200      8.53e+00    1.51e+01      5.90e-01    5.98e-01      2.70e-01    4.79e-01    1.0e-03
    300      1.34e+01    1.35e+01      5.54e-01    5.50e-01      4.23e-01    4.27e-01    1.0e-03
    400      1.05e+01    1.25e+01      2.14e-01    2.22e-01      3.33e-01    3.96e-01    1.0e-03
    500      1.10e+01    6.36e+00      1.08e-01    1.01e-01      3.47e-01    2.01e-01    1.0e-03
    600      7.23e+00    4.51e+00      1.45e-01    1.43e-01      2.29e-01    1.43e-01    1.0e-03
    700      7.21e+00    3.28e+00      7.10e-02    6.58e-02      2.28e-01    1.04e-01    1.0e-03
    800      5.03e+00    4.04e+00      1.63e-02    1.37e-02      1.59e-01    1.28e-01    1.0e-03
    900      6.42e+00    6.60e+00      1.06e-03    2.26e-03      2.03e-01    2.09e-01    1.0e-03
   1000      1.79e+00    2.75e+00      1.10e-01    1.10e-01      5.67e-02    8.70e-02    1.0e-03
   1100      4.50e+00    7.69e+00      9.00e-02    8.76e-02      1.42e-01    2.43e-01    1.0e-03
   1200      4.63e+00    3.51e+00      4.83e-02    4.90e-02      1.46e-01    1.11e-01    1.0e-03
   1300      5.39e+00    6.16e+00      1.16e-01    1.17e-01      1.70e-01    1.95e-01    1.0e-03
   1400      4.82e+00    4.67e+00      8.89e-02    9.09e-02      1.52e-01    1.48e-01    1.0e-03
   1500      4.20e+00    4.11e+00      1.66e-01    1.67e-01      1.33e-01    1.30e-01    1.0e-03
   1600      5.95e+00    3.08e+00      8.66e-02    8.55e-02      1.88e-01    9.73e-02    1.0e-03
   1700      5.65e+00    5.54e+00      1.86e-02    1.56e-02      1.79e-01    1.75e-01    1.0e-03
   1800      4.84e+00    5.40e+00      2.51e-01    2.52e-01      1.53e-01    1.71e-01    1.0e-03
   1900      4.97e+00    4.86e+00      2.25e-01    2.26e-01      1.57e-01    1.54e-01    1.0e-03
   2000      2.96e+00    5.55e+00      7.17e-02    6.83e-02      9.38e-02    1.76e-01    1.0e-03
   2100      6.36e+00    4.63e+00      2.45e-01    2.47e-01      2.01e-01    1.47e-01    1.0e-03
   2200      3.12e+00    2.81e+00      1.19e-01    1.20e-01      9.87e-02    8.90e-02    1.0e-03
   2300      5.94e+00    4.18e+00      1.18e-01    1.12e-01      1.88e-01    1.32e-01    1.0e-03
   2400      2.59e+00    3.51e+00      1.89e-03    1.52e-03      8.19e-02    1.11e-01    1.0e-03
   2500      4.20e+00    3.47e+00      2.63e-01    2.64e-01      1.33e-01    1.10e-01    1.0e-03
   2600      5.57e+00    6.09e+00      3.36e-02    3.32e-02      1.76e-01    1.92e-01    1.0e-03
   2700      3.94e+00    4.59e+00      7.16e-02    6.96e-02      1.24e-01    1.45e-01    1.0e-03
   2800      8.48e+00    8.32e+00      1.98e-02    2.29e-02      2.68e-01    2.63e-01    1.0e-03
   2900      4.76e+00    5.74e+00      1.54e-03    3.34e-03      1.51e-01    1.81e-01    1.0e-03
   3000      3.70e+00    3.04e+00      8.41e-02    8.54e-02      1.17e-01    9.60e-02    1.0e-03
   3100      6.28e+00    4.62e+00      2.29e-01    2.32e-01      1.99e-01    1.46e-01    1.0e-03
   3200      3.74e+00    2.79e+00      7.89e-02    7.80e-02      1.18e-01    8.81e-02    1.0e-03
   3300      2.00e+00    4.88e+00      1.62e-02    1.56e-02      6.31e-02    1.54e-01    1.0e-03
   3400      6.13e+00    6.20e+00      3.96e-02    4.24e-02      1.94e-01    1.96e-01    1.0e-03
   3500      2.54e+00    3.03e+00      8.95e-02    8.95e-02      8.04e-02    9.57e-02    1.0e-03
   3600      3.12e+00    4.37e+00      4.69e-03    6.51e-03      9.88e-02    1.38e-01    1.0e-03
   3700      3.99e+00    4.28e+00      1.02e-01    1.04e-01      1.26e-01    1.35e-01    1.0e-03
   3800      7.94e+00    6.24e+00      1.49e-01    1.51e-01      2.51e-01    1.97e-01    1.0e-03
   3900      4.86e+00    4.99e+00      9.97e-02    9.91e-02      1.54e-01    1.58e-01    1.0e-03
   4000      5.07e+00    4.32e+00      5.24e-02    5.10e-02      1.60e-01    1.37e-01    1.0e-03
   4100      2.97e+00    3.04e+00      2.61e-02    2.47e-02      9.39e-02    9.62e-02    1.0e-03
