#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      1.07e+01    1.04e+01      9.53e-02    9.75e-02      3.46e-01    3.36e-01    9.5e-04
   6000      9.50e+00    6.50e+00      6.55e-02    7.41e-02      3.08e-01    2.11e-01    9.5e-04
   6100      6.93e+00    4.79e+00      6.32e-01    6.29e-01      2.24e-01    1.55e-01    9.5e-04
   6200      4.21e+00    3.59e+00      9.80e-02    9.49e-02      1.37e-01    1.16e-01    9.5e-04
   6300      8.02e+00    4.00e+00      1.01e-01    9.48e-02      2.60e-01    1.30e-01    9.5e-04
   6400      5.56e+00    6.91e+00      1.58e-01    1.55e-01      1.80e-01    2.24e-01    9.5e-04
   6500      5.61e+00    4.34e+00      3.41e-02    3.14e-02      1.82e-01    1.41e-01    9.5e-04
   6600      3.99e+00    6.85e+00      4.89e-02    4.61e-02      1.29e-01    2.22e-01    9.5e-04
   6700      4.72e+00    8.33e+00      9.98e-02    9.21e-02      1.53e-01    2.70e-01    9.5e-04
   6800      6.71e+00    4.72e+00      5.87e-01    5.80e-01      2.17e-01    1.53e-01    9.5e-04
   6900      8.36e+00    1.12e+01      5.33e-01    5.35e-01      2.71e-01    3.63e-01    9.5e-04
   7000      7.37e+00    6.23e+00      2.93e-01    2.92e-01      2.39e-01    2.02e-01    9.5e-04
   7100      4.12e+00    3.07e+00      9.44e-02    9.59e-02      1.34e-01    9.97e-02    9.5e-04
   7200      9.08e+00    4.50e+00      2.58e-01    2.56e-01      2.95e-01    1.46e-01    9.5e-04
   7300      5.33e+00    5.26e+00      2.48e-01    2.51e-01      1.73e-01    1.71e-01    9.5e-04
   7400      3.48e+00    4.47e+00      6.64e-01    6.63e-01      1.12e-01    1.44e-01    9.5e-04
   7500      5.72e+00    5.49e+00      2.21e-01    2.23e-01      1.86e-01    1.78e-01    9.5e-04
   7600      5.05e+00    4.18e+00      3.41e-02    3.44e-02      1.64e-01    1.36e-01    9.5e-04
   7700      6.29e+00    3.92e+00      3.39e-03    2.61e-03      2.04e-01    1.27e-01    9.5e-04
   7800      6.31e+00    7.58e+00      4.64e-03    8.33e-03      2.05e-01    2.46e-01    9.5e-04
   7900      5.74e+00    5.12e+00      3.11e-01    3.08e-01      1.86e-01    1.66e-01    9.5e-04
   8000      6.76e+00    7.44e+00      2.53e-01    2.51e-01      2.19e-01    2.41e-01    9.5e-04
   8100      6.05e+00    7.82e+00      1.87e-02    1.84e-02      1.96e-01    2.54e-01    9.5e-04
   8200      4.48e+00    3.99e+00      1.41e-01    1.38e-01      1.45e-01    1.29e-01    9.5e-04
   8300      4.60e+00    4.09e+00      3.38e-01    3.37e-01      1.49e-01    1.32e-01    9.5e-04
   8400      5.13e+00    5.23e+00      2.21e-01    2.15e-01      1.66e-01    1.70e-01    9.5e-04
   8500      5.35e+00    3.84e+00      6.67e-02    6.46e-02      1.74e-01    1.24e-01    9.5e-04
   8600      2.68e+00    4.20e+00      4.01e-02    3.92e-02      8.71e-02    1.36e-01    9.5e-04
   8700      6.20e+00    5.64e+00      5.26e-01    5.25e-01      2.01e-01    1.83e-01    9.5e-04
   8800      6.85e+00    5.06e+00      1.31e-02    6.44e-03      2.22e-01    1.64e-01    9.5e-04
   8900      4.88e+00    6.96e+00      1.44e-01    1.51e-01      1.58e-01    2.26e-01    9.5e-04
   9000      7.41e+00    4.83e+00      7.26e-02    6.94e-02      2.40e-01    1.57e-01    9.5e-04
   9100      1.06e+01    5.00e+00      1.10e-01    1.09e-01      3.43e-01    1.62e-01    9.5e-04
   9200      3.13e+00    5.38e+00      1.53e-02    1.62e-02      1.02e-01    1.74e-01    9.5e-04
   9300      4.71e+00    4.40e+00      1.82e-01    1.81e-01      1.53e-01    1.43e-01    9.5e-04
   9400      4.80e+00    4.16e+00      2.02e-01    2.02e-01      1.56e-01    1.35e-01    9.5e-04
   9500      4.36e+00    5.79e+00      7.92e-02    8.11e-02      1.41e-01    1.88e-01    9.5e-04
   9600      2.96e+00    6.17e+00      1.26e-01    1.25e-01      9.60e-02    2.00e-01    9.5e-04
   9700      6.88e+00    5.18e+00      3.87e-01    3.77e-01      2.23e-01    1.68e-01    9.5e-04
   9800      5.69e+00    7.57e+00      6.97e-02    6.84e-02      1.84e-01    2.46e-01    9.5e-04
   9900      5.21e+00    6.60e+00      3.47e-02    3.39e-02      1.69e-01    2.14e-01    9.5e-04
  10000      4.12e+00    2.68e+00      3.78e-01    3.76e-01      1.37e-01    8.87e-02    9.0e-04
