#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.13e+01    3.11e+01      4.44e-01    5.69e-01      6.75e-01    9.85e-01    1.0e-03
    100      1.61e+01    1.76e+01      2.22e+00    2.21e+00      5.08e-01    5.57e-01    1.0e-03
    200      1.47e+01    8.02e+00      1.51e+00    1.46e+00      4.65e-01    2.53e-01    1.0e-03
    300      1.35e+01    1.55e+01      4.49e-01    4.58e-01      4.28e-01    4.90e-01    1.0e-03
    400      1.12e+01    1.80e+01      1.44e-01    1.86e-01      3.53e-01    5.68e-01    1.0e-03
    500      8.79e+00    1.49e+01      1.84e-01    2.42e-01      2.78e-01    4.72e-01    1.0e-03
    600      1.09e+01    1.05e+01      3.78e-01    3.40e-01      3.43e-01    3.30e-01    1.0e-03
    700      7.50e+00    6.37e+00      2.15e-01    2.13e-01      2.37e-01    2.01e-01    1.0e-03
    800      1.17e+01    8.87e+00      1.19e-01    9.11e-02      3.71e-01    2.81e-01    1.0e-03
    900      7.11e+00    4.22e+00      8.07e-02    8.50e-02      2.25e-01    1.33e-01    1.0e-03
   1000      7.88e+00    6.21e+00      2.06e-01    1.88e-01      2.49e-01    1.96e-01    1.0e-03
   1100      4.32e+00    4.70e+00      1.94e-01    1.95e-01      1.36e-01    1.49e-01    1.0e-03
   1200      1.17e+01    9.79e+00      3.88e-02    2.36e-02      3.70e-01    3.10e-01    1.0e-03
   1300      3.94e+00    4.26e+00      2.69e-01    2.68e-01      1.24e-01    1.35e-01    1.0e-03
   1400      7.84e+00    1.20e+01      2.07e-01    1.97e-01      2.48e-01    3.81e-01    1.0e-03
   1500      6.09e+00    5.66e+00      1.63e-01    1.65e-01      1.92e-01    1.79e-01    1.0e-03
   1600      1.05e+01    8.71e+00      2.14e-01    2.25e-01      3.32e-01    2.75e-01    1.0e-03
   1700      4.18e+00    4.83e+00      8.91e-02    8.49e-02      1.32e-01    1.53e-01    1.0e-03
   1800      1.12e+01    7.21e+00      5.32e-02    4.42e-02      3.55e-01    2.28e-01    1.0e-03
   1900      5.00e+00    4.48e+00      1.49e-02    1.62e-02      1.58e-01    1.42e-01    1.0e-03
   2000      4.97e+00    8.58e+00      3.06e-01    3.13e-01      1.57e-01    2.71e-01    1.0e-03
   2100      7.03e+00    6.18e+00      1.50e-01    1.52e-01      2.22e-01    1.95e-01    1.0e-03
   2200      4.77e+00    3.24e+00      1.16e-01    1.14e-01      1.51e-01    1.03e-01    1.0e-03
   2300      5.70e+00    6.60e+00      3.01e-01    3.02e-01      1.80e-01    2.09e-01    1.0e-03
   2400      7.70e+00    5.26e+00      1.39e-01    1.32e-01      2.43e-01    1.66e-01    1.0e-03
   2500      4.98e+00    1.11e+01      3.62e-01    3.93e-01      1.57e-01    3.51e-01    1.0e-03
   2600      1.23e+01    4.42e+00      1.15e-01    9.93e-02      3.89e-01    1.40e-01    1.0e-03
   2700      6.47e+00    5.00e+00      2.17e-01    2.17e-01      2.05e-01    1.58e-01    1.0e-03
   2800      8.40e+00    7.21e+00      1.11e-01    1.04e-01      2.66e-01    2.28e-01    1.0e-03
   2900      1.11e+01    4.45e+00      4.05e-01    4.28e-01      3.52e-01    1.41e-01    1.0e-03
   3000      4.94e+00    7.33e+00      1.53e-02    1.76e-02      1.56e-01    2.32e-01    1.0e-03
   3100      7.32e+00    7.88e+00      7.04e-02    7.04e-02      2.31e-01    2.49e-01    1.0e-03
   3200      6.13e+00    8.70e+00      6.30e-02    6.34e-02      1.94e-01    2.75e-01    1.0e-03
   3300      4.99e+00    8.38e+00      7.35e-02    7.07e-02      1.58e-01    2.65e-01    1.0e-03
   3400      5.94e+00    5.67e+00      1.53e-01    1.50e-01      1.88e-01    1.79e-01    1.0e-03
   3500      5.24e+00    4.97e+00      1.02e-01    1.02e-01      1.66e-01    1.57e-01    1.0e-03
   3600      6.87e+00    7.13e+00      2.07e-01    2.05e-01      2.17e-01    2.25e-01    1.0e-03
   3700      7.65e+00    8.90e+00      1.43e-01    1.46e-01      2.42e-01    2.82e-01    1.0e-03
   3800      5.58e+00    5.13e+00      3.00e-02    3.04e-02      1.76e-01    1.62e-01    1.0e-03
   3900      1.05e+01    1.00e+01      3.52e-01    3.51e-01      3.33e-01    3.16e-01    1.0e-03
   4000      5.61e+00    8.83e+00      4.11e-01    4.21e-01      1.77e-01    2.79e-01    1.0e-03
   4100      9.02e+00    3.91e+00      1.93e-01    1.93e-01      2.85e-01    1.24e-01    1.0e-03
   4200      7.87e+00    6.52e+00      3.20e-01    3.11e-01      2.49e-01    2.06e-01    1.0e-03
   4300      3.98e+00    8.36e+00      2.27e-01    2.40e-01      1.26e-01    2.64e-01    1.0e-03
   4400      8.61e+00    6.19e+00      3.91e-02    3.38e-02      2.72e-01    1.96e-01    1.0e-03
   4500      8.11e+00    4.38e+00      1.56e-02    1.71e-02      2.56e-01    1.39e-01    1.0e-03
   4600      4.36e+00    3.42e+00      7.40e-02    7.62e-02      1.38e-01    1.08e-01    1.0e-03
   4700      5.97e+00    6.75e+00      9.38e-02    9.42e-02      1.89e-01    2.13e-01    1.0e-03
   4800      5.05e+00    4.16e+00      5.73e-02    5.67e-02      1.60e-01    1.31e-01    1.0e-03
   4900      4.16e+00    3.64e+00      8.66e-02    8.56e-02      1.32e-01    1.15e-01    1.0e-03
   5000      5.85e+00    5.83e+00      1.55e-01    1.59e-01      1.90e-01    1.89e-01    9.5e-04
   5100      5.07e+00    5.92e+00      9.15e-02    9.55e-02      1.64e-01    1.92e-01    9.5e-04
   5200      5.96e+00    5.98e+00      5.71e-02    5.51e-02      1.93e-01    1.94e-01    9.5e-04
   5300      4.86e+00    3.07e+00      1.27e-02    1.65e-02      1.58e-01    9.97e-02    9.5e-04
   5400      6.22e+00    7.75e+00      8.83e-02    8.27e-02      2.02e-01    2.51e-01    9.5e-04
   5500      3.68e+00    5.15e+00      5.62e-02    5.51e-02      1.19e-01    1.67e-01    9.5e-04
   5600      7.71e+00    7.76e+00      6.60e-02    7.36e-02      2.50e-01    2.52e-01    9.5e-04
   5700      2.82e+00    5.80e+00      5.87e-02    6.23e-02      9.15e-02    1.88e-01    9.5e-04
   5800      5.13e+00    3.54e+00      2.89e-02    2.80e-02      1.66e-01    1.15e-01    9.5e-04
   5900      4.70e+00    8.84e+00      8.18e-02    9.11e-02      1.53e-01    2.87e-01    9.5e-04
   6000      5.62e+00    3.74e+00      5.00e-02    5.48e-02      1.82e-01    1.21e-01    9.5e-04
   6100      5.32e+00    5.39e+00      1.00e-01    9.60e-02      1.73e-01    1.75e-01    9.5e-04
   6200      3.39e+00    3.45e+00      5.58e-02    5.47e-02      1.10e-01    1.12e-01    9.5e-04
   6300      4.28e+00    2.47e+00      1.87e-02    1.97e-02      1.39e-01    8.02e-02    9.5e-04
   6400      7.32e+00    7.33e+00      1.34e-01    1.37e-01      2.38e-01    2.38e-01    9.5e-04
   6500      5.28e+00    2.79e+00      2.04e-02    2.22e-02      1.71e-01    9.04e-02    9.5e-04
   6600      8.24e+00    4.25e+00      7.18e-02    9.16e-02      2.67e-01    1.38e-01    9.5e-04
   6700      3.93e+00    3.25e+00      1.04e-01    1.04e-01      1.28e-01    1.05e-01    9.5e-04
   6800      4.82e+00    6.26e+00      3.72e-02    4.05e-02      1.56e-01    2.03e-01    9.5e-04
   6900      3.52e+00    2.74e+00      2.89e-02    3.07e-02      1.14e-01    8.88e-02    9.5e-04
   7000      4.85e+00    5.32e+00      5.43e-02    5.29e-02      1.57e-01    1.73e-01    9.5e-04
   7100      5.43e+00    6.25e+00      1.65e-01    1.67e-01      1.76e-01    2.03e-01    9.5e-04
   7200      4.72e+00    3.75e+00      6.07e-02    5.82e-02      1.53e-01    1.22e-01    9.5e-04
   7300      3.63e+00    6.41e+00      2.09e-01    2.05e-01      1.18e-01    2.08e-01    9.5e-04
   7400      6.41e+00    5.42e+00      2.63e-02    2.73e-02      2.08e-01    1.76e-01    9.5e-04
   7500      3.83e+00    3.68e+00      9.63e-02    9.72e-02      1.24e-01    1.19e-01    9.5e-04
   7600      2.70e+00    3.41e+00      8.98e-02    8.81e-02      8.75e-02    1.11e-01    9.5e-04
   7700      6.08e+00    3.61e+00      5.67e-02    6.20e-02      1.97e-01    1.17e-01    9.5e-04
   7800      4.11e+00    2.75e+00      3.12e-02    3.28e-02      1.33e-01    8.92e-02    9.5e-04
   7900      4.75e+00    2.69e+00      5.37e-02    5.52e-02      1.54e-01    8.73e-02    9.5e-04
   8000      3.63e+00    7.29e+00      1.68e-01    1.75e-01      1.18e-01    2.37e-01    9.5e-04
   8100      3.46e+00    1.97e+00      2.22e-01    2.22e-01      1.12e-01    6.37e-02    9.5e-04
   8200      5.52e+00    5.31e+00      1.38e-01    1.34e-01      1.79e-01    1.72e-01    9.5e-04
   8300      3.01e+00    5.04e+00      8.02e-02    7.97e-02      9.75e-02    1.63e-01    9.5e-04
   8400      3.17e+01    3.25e+01      1.18e-01    1.17e-01      1.03e+00    1.05e+00    9.5e-04
   8500      3.87e+00    3.63e+00      3.31e-02    3.35e-02      1.26e-01    1.18e-01    9.5e-04
   8600      4.66e+00    4.27e+00      3.13e-02    2.93e-02      1.51e-01    1.38e-01    9.5e-04
   8700      2.31e+00    1.90e+00      3.49e-02    3.53e-02      7.51e-02    6.16e-02    9.5e-04
   8800      2.95e+00    1.81e+00      1.06e-01    1.06e-01      9.57e-02    5.86e-02    9.5e-04
   8900      3.13e+00    2.75e+00      8.51e-03    9.56e-03      1.01e-01    8.92e-02    9.5e-04
   9000      3.53e+00    4.31e+00      6.53e-02    6.34e-02      1.15e-01    1.40e-01    9.5e-04
   9100      4.30e+00    2.24e+00      3.77e-02    3.69e-02      1.39e-01    7.26e-02    9.5e-04
   9200      4.06e+00    3.66e+00      1.42e-01    1.40e-01      1.32e-01    1.19e-01    9.5e-04
   9300      5.62e+00    5.12e+00      7.12e-02    6.44e-02      1.82e-01    1.66e-01    9.5e-04
   9400      2.29e+00    2.12e+00      4.40e-02    4.74e-02      7.41e-02    6.88e-02    9.5e-04
   9500      4.19e+00    5.72e+00      6.12e-02    5.96e-02      1.36e-01    1.86e-01    9.5e-04
   9600      3.68e+00    3.37e+00      1.33e-02    1.43e-02      1.19e-01    1.09e-01    9.5e-04
   9700      2.69e+00    3.03e+00      1.18e-02    1.12e-02      8.73e-02    9.82e-02    9.5e-04
   9800      7.24e+00    5.24e+00      2.60e-01    2.45e-01      2.35e-01    1.70e-01    9.5e-04
   9900      3.58e+00    2.10e+00      1.49e-01    1.52e-01      1.16e-01    6.80e-02    9.5e-04
  10000      6.49e+00    6.46e+00      8.16e-02    7.89e-02      2.16e-01    2.15e-01    9.0e-04
  10100      1.93e+00    1.98e+00      7.19e-02    7.30e-02      6.43e-02    6.59e-02    9.0e-04
  10200      3.38e+00    3.44e+00      7.15e-02    7.33e-02      1.13e-01    1.15e-01    9.0e-04
  10300      4.07e+00    2.43e+00      1.09e-02    1.30e-02      1.35e-01    8.10e-02    9.0e-04
  10400      1.93e+00    4.01e+00      2.23e-02    2.33e-02      6.42e-02    1.33e-01    9.0e-04
  10500      2.84e+00    1.99e+00      6.53e-02    6.55e-02      9.46e-02    6.61e-02    9.0e-04
  10600      4.48e+00    6.31e+00      3.27e-02    2.80e-02      1.49e-01    2.10e-01    9.0e-04
  10700      2.08e+00    1.96e+00      6.59e-04    9.21e-04      6.91e-02    6.52e-02    9.0e-04
  10800      2.52e+00    3.41e+00      3.83e-02    3.49e-02      8.37e-02    1.14e-01    9.0e-04
  10900      5.29e+00    4.33e+00      4.22e-02    4.86e-02      1.76e-01    1.44e-01    9.0e-04
  11000      5.00e+00    6.35e+00      1.09e-01    1.09e-01      1.66e-01    2.11e-01    9.0e-04
  11100      3.59e+00    5.77e+00      1.15e-02    1.58e-02      1.19e-01    1.92e-01    9.0e-04
  11200      6.56e+00    7.44e+00      1.46e-02    2.05e-02      2.18e-01    2.48e-01    9.0e-04
  11300      3.06e+00    2.29e+00      1.15e-01    1.12e-01      1.02e-01    7.60e-02    9.0e-04
  11400      4.91e+00    4.24e+00      6.46e-02    6.55e-02      1.64e-01    1.41e-01    9.0e-04
  11500      4.76e+00    3.48e+00      1.67e-02    2.07e-02      1.58e-01    1.16e-01    9.0e-04
  11600      5.78e+00    1.91e+00      2.07e-02    1.63e-02      1.93e-01    6.37e-02    9.0e-04
  11700      5.07e+00    5.66e+00      7.53e-02    7.18e-02      1.69e-01    1.88e-01    9.0e-04
  11800      3.55e+00    6.95e+00      5.70e-02    6.42e-02      1.18e-01    2.31e-01    9.0e-04
  11900      2.53e+00    2.36e+00      9.64e-02    9.63e-02      8.43e-02    7.85e-02    9.0e-04
  12000      3.33e+00    3.09e+00      2.28e-03    3.45e-03      1.11e-01    1.03e-01    9.0e-04
  12100      4.23e+00    4.00e+00      1.08e-01    1.08e-01      1.41e-01    1.33e-01    9.0e-04
  12200      4.50e+00    2.43e+00      3.46e-03    1.74e-03      1.50e-01    8.09e-02    9.0e-04
  12300      5.17e+00    5.59e+00      3.40e-03    7.26e-03      1.72e-01    1.86e-01    9.0e-04
  12400      3.00e+00    2.90e+00      6.65e-02    6.65e-02      9.99e-02    9.66e-02    9.0e-04
  12500      3.91e+00    5.30e+00      1.91e-02    2.37e-02      1.30e-01    1.76e-01    9.0e-04
